,state,participation_act_2018,composite_act_2018,participation_sat_2018,reading_sat_2018,math_sat_2018,total_sat_2018
0,Alabama,100,19.1,6,595.0,571.0,1166.0
1,Alaska,33,20.8,43,562.0,544.0,1106.0
2,Arizona,66,19.2,29,577.0,572.0,1149.0
3,Arkansas,100,19.4,5,592.0,576.0,1169.0
4,California,27,22.7,60,540.0,536.0,1076.0
5,Colorado,30,23.9,100,519.0,506.0,1025.0
6,Connecticut,26,25.6,100,535.0,519.0,1053.0
7,Delaware,17,23.8,100,505.0,492.0,998.0
8,District of Columbia,32,23.6,92,497.0,480.0,977.0
9,Florida,66,19.9,56,550.0,549.0,1099.0
10,Georgia,53,21.4,70,542.0,522.0,1064.0
11,Hawaii,89,18.9,56,480.0,530.0,1010.0
12,Idaho,36,22.3,100,508.0,493.0,1001.0
13,Illinois,43,23.9,99,513.0,506.0,1019.0
14,Indiana,32,22.5,63,542.0,532.0,1074.0
15,Iowa,68,21.8,3,634.0,631.0,1265.0
16,Kansas,71,21.6,4,633.0,631.0,1265.0
17,Kentucky,100,20.2,4,630.0,618.0,1248.0
18,Louisiana,100,19.2,4,615.0,595.0,1210.0
19,Maine,7,24.0,99,512.0,501.0,1013.0
20,Maryland,31,22.5,76,545.0,535.0,1080.0
21,Massachusetts,25,25.5,80,562.0,563.0,1125.0
22,Michigan,22,24.2,100,511.0,499.0,1011.0
23,Minnesota,99,21.3,4,643.0,655.0,1298.0
24,Mississippi,100,18.6,3,630.0,606.0,1236.0
25,Missouri,100,20.0,4,633.0,629.0,1262.0
26,Montana,100,20.0,10,606.0,592.0,1198.0
27,Nebraska,100,20.1,3,629.0,623.0,1252.0
28,Nevada,100,17.7,23,574.0,566.0,1140.0
29,New Hampshire,16,25.1,96,535.0,528.0,1063.0
30,New Jersey,31,23.7,82,547.0,547.0,1094.0
31,New Mexico,67,19.4,16,552.0,540.0,1093.0
32,New York,27,24.5,79,534.0,534.0,1068.0
33,North Carolina,100,19.1,52,554.0,543.0,1098.0
34,North Dakota,98,20.3,2,640.0,643.0,1283.0
35,Ohio,100,20.3,18,552.0,547.0,1099.0
36,Oklahoma,100,19.3,8,541.0,521.0,1062.0
37,Oregon,42,21.3,48,564.0,553.0,1117.0
38,Pennsylvania,20,23.5,70,547.0,539.0,1086.0
39,Rhode Island,15,24.2,97,513.0,505.0,1018.0
40,South Carolina,100,18.3,55,547.0,523.0,1070.0
41,South Dakota,77,21.9,3,622.0,618.0,1240.0
42,Tennessee,100,19.6,6,624.0,607.0,1231.0
43,Texas,45,20.7,66,520.0,512.0,1032.0
44,Utah,100,20.4,4,480.0,530.0,1010.0
45,Vermont,24,24.1,64,565.0,554.0,1120.0
46,Virginia,24,23.9,68,567.0,550.0,1117.0
47,Washington,24,22.2,69,543.0,538.0,1081.0
48,West Virginia,65,20.3,28,513.0,486.0,999.0
49,Wisconsin,100,20.5,3,641.0,653.0,1294.0
50,Wyoming,100,20.0,3,633.0,625.0,1257.0
