,state,participation_act_2017,english_act_2017,math_act_2017,reading_act_2017,science_act_2017,composite_act_2017,participation_sat_2017,reading_sat_2017,math_sat_2017,total_sat_2017,participation_act_2018,composite_act_2018,participation_sat_2018,reading_sat_2018,math_sat_2018,total_sat_2018
0,Alabama,100,18.9,18.4,19.7,19.4,19.2,5,593,572,1165,100,19.1,6,595.0,571.0,1166.0
1,Alaska,65,18.7,19.8,20.4,19.9,19.8,38,547,533,1080,33,20.8,43,562.0,544.0,1106.0
2,Arizona,62,18.6,19.8,20.1,19.8,19.7,30,563,553,1116,66,19.2,29,577.0,572.0,1149.0
3,Arkansas,100,18.9,19.0,19.7,19.5,19.4,3,614,594,1208,100,19.4,5,592.0,576.0,1169.0
4,California,31,22.5,22.7,23.1,22.2,22.8,53,531,524,1055,27,22.7,60,540.0,536.0,1076.0
5,Colorado,100,20.1,20.3,21.2,20.9,20.8,11,606,595,1201,30,23.9,100,519.0,506.0,1025.0
6,Connecticut,31,25.5,24.6,25.6,24.6,25.2,100,530,512,1041,26,25.6,100,535.0,519.0,1053.0
7,Delaware,18,24.1,23.4,24.8,23.6,24.1,100,503,492,996,17,23.8,100,505.0,492.0,998.0
8,District of Columbia,32,24.4,23.5,24.9,23.5,24.2,100,482,468,950,32,23.6,92,497.0,480.0,977.0
9,Florida,73,19.0,19.4,21.0,19.4,19.8,83,520,497,1017,66,19.9,56,550.0,549.0,1099.0
10,Georgia,55,21.0,20.9,22.0,21.3,21.4,61,535,515,1050,53,21.4,70,542.0,522.0,1064.0
11,Hawaii,90,17.8,19.2,19.2,19.3,19.0,55,544,541,1085,89,18.9,56,480.0,530.0,1010.0
12,Idaho,38,21.9,21.8,23.0,22.1,22.3,93,513,493,1005,36,22.3,100,508.0,493.0,1001.0
13,Illinois,93,21.0,21.2,21.6,21.3,21.4,9,559,556,1115,43,23.9,99,513.0,506.0,1019.0
14,Indiana,35,22.0,22.4,23.2,22.3,22.6,63,542,532,1074,32,22.5,63,542.0,532.0,1074.0
15,Iowa,67,21.2,21.3,22.6,22.1,21.9,2,641,635,1275,68,21.8,3,634.0,631.0,1265.0
16,Kansas,73,21.1,21.3,22.3,21.7,21.7,4,632,628,1260,71,21.6,4,633.0,631.0,1265.0
17,Kentucky,100,19.6,19.4,20.5,20.1,20.0,4,631,616,1247,100,20.2,4,630.0,618.0,1248.0
18,Louisiana,100,19.4,18.8,19.8,19.6,19.5,4,611,586,1198,100,19.2,4,615.0,595.0,1210.0
19,Maine,8,24.2,24.0,24.8,23.7,24.3,95,513,499,1012,7,24.0,99,512.0,501.0,1013.0
20,Maryland,28,23.3,23.1,24.2,23.2,23.6,69,536,524,1060,31,22.5,76,545.0,535.0,1080.0
21,Massachusetts,29,25.4,25.3,25.9,24.7,25.4,76,555,551,1107,25,25.5,80,562.0,563.0,1125.0
22,Michigan,29,24.1,23.7,24.5,23.8,24.1,100,509,495,1005,22,24.2,100,511.0,499.0,1011.0
23,Minnesota,100,20.4,21.5,21.8,21.6,21.5,3,644,651,1295,99,21.3,4,643.0,655.0,1298.0
24,Mississippi,100,18.2,18.1,18.8,18.8,18.6,2,634,607,1242,100,18.6,3,630.0,606.0,1236.0
25,Missouri,100,19.8,19.9,20.8,20.5,20.4,3,640,631,1271,100,20.0,4,633.0,629.0,1262.0
26,Montana,100,19.0,20.2,21.0,20.5,20.3,10,605,591,1196,100,20.0,10,606.0,592.0,1198.0
27,Nebraska,84,20.9,20.9,21.9,21.5,21.4,3,629,625,1253,100,20.1,3,629.0,623.0,1252.0
28,Nevada,100,16.3,18.0,18.1,18.2,17.8,26,563,553,1116,100,17.7,23,574.0,566.0,1140.0
29,New Hampshire,18,25.4,25.1,26.0,24.9,25.5,96,532,520,1052,16,25.1,96,535.0,528.0,1063.0
30,New Jersey,34,23.8,23.8,24.1,23.2,23.9,70,530,526,1056,31,23.7,82,547.0,547.0,1094.0
31,New Mexico,66,18.6,19.4,20.4,20.0,19.7,11,577,561,1138,67,19.4,16,552.0,540.0,1093.0
32,New York,31,23.8,24.0,24.6,23.9,24.2,67,528,523,1052,27,24.5,79,534.0,534.0,1068.0
33,North Carolina,100,17.8,19.3,19.6,19.3,19.1,49,546,535,1081,100,19.1,52,554.0,543.0,1098.0
34,North Dakota,98,19.0,20.4,20.5,20.6,20.3,2,635,621,1256,98,20.3,2,640.0,643.0,1283.0
35,Ohio,75,21.2,21.6,22.5,22.0,22.0,12,578,570,1149,100,20.3,18,552.0,547.0,1099.0
36,Oklahoma,100,18.5,18.8,20.1,19.6,19.4,7,530,517,1047,100,19.3,8,541.0,521.0,1062.0
37,Oregon,40,21.2,21.5,22.4,21.7,21.8,43,560,548,1108,42,21.3,48,564.0,553.0,1117.0
38,Pennsylvania,23,23.4,23.4,24.2,23.3,23.7,65,540,531,1071,20,23.5,70,547.0,539.0,1086.0
39,Rhode Island,21,24.0,23.3,24.7,23.4,24.0,71,539,524,1062,15,24.2,97,513.0,505.0,1018.0
40,South Carolina,100,17.5,18.6,19.1,18.9,18.7,50,543,521,1064,100,18.3,55,547.0,523.0,1070.0
41,South Dakota,80,20.7,21.5,22.3,22.0,21.8,3,612,603,1216,77,21.9,3,622.0,618.0,1240.0
42,Tennessee,100,19.5,19.2,20.1,19.9,19.8,5,623,604,1228,100,19.6,6,624.0,607.0,1231.0
43,Texas,45,19.5,20.7,21.1,20.9,20.7,62,513,507,1020,45,20.7,66,520.0,512.0,1032.0
44,Utah,100,19.5,19.9,20.8,20.6,20.3,3,624,614,1238,100,20.4,4,480.0,530.0,1010.0
45,Vermont,29,23.3,23.1,24.4,23.2,23.6,60,562,551,1114,24,24.1,64,565.0,554.0,1120.0
46,Virginia,29,23.5,23.3,24.6,23.5,23.8,65,561,541,1102,24,23.9,68,567.0,550.0,1117.0
47,Washington,29,20.9,21.9,22.1,22.0,21.9,64,541,534,1075,24,22.2,69,543.0,538.0,1081.0
48,West Virginia,69,20.0,19.4,21.2,20.5,20.4,14,558,528,1086,65,20.3,28,513.0,486.0,999.0
49,Wisconsin,100,19.7,20.4,20.6,20.9,20.5,3,642,649,1291,100,20.5,3,641.0,653.0,1294.0
50,Wyoming,100,19.4,19.8,20.8,20.6,20.2,3,626,604,1230,100,20.0,3,633.0,625.0,1257.0
